case,postprocess,leaderboard,toposcore,topoF1_0,topoF1_1,topoF1_2,surface_dice,voi_score,voi_total,voi_split,voi_merge
338740527,threshold_05,0.6396342544785848,0.3202171939868846,0.6285714285714286,0.0025188916876574307,nan,0.9686565834261802,0.5843979773810183,2.3705422144084283,1.2120946046500838,1.1584476097583445
3414512299,threshold_05,0.7162820396041647,0.46593286752304747,0.9090909090909091,0.009345794392523364,nan,0.9952524532152697,0.6518966306340175,1.77995177460076,0.891708890419333,0.8882428841814269
3419802889,threshold_05,0.4808251603192418,0.040218487979682006,0.07925407925407925,0.0,nan,0.7966321372214422,0.5426810454223784,2.8090100587026656,1.475143382790061,1.3338666759126045
344456112,threshold_05,0.6455730111396742,0.3690637720488467,0.7272727272727273,0.0,nan,0.9527402320540272,0.5754137094460309,2.4596001310821043,1.2433241303851859,1.2162760006969182
3542835985,threshold_05,0.6383619317894675,0.4285240464344942,0.8444444444444444,0.0,nan,0.940841266426433,0.5157436417424794,3.1298260030986413,1.6202998058902613,1.50952619720838
3598654160,threshold_05,0.40751879482053177,0.06831228473019518,0.1346153846153846,0.0,nan,0.6079193465413121,0.49786668032004006,3.361899477166439,1.3595750662933301,2.0023244108731086
3647910527,threshold_05,0.6554446416755129,0.4098737083811711,0.8076923076923077,0.0,nan,0.9585741308328212,0.562804523913355,2.5893861753081917,1.3048089708244033,1.2845772044837884
364978558,threshold_05,0.6254129423753847,0.334667830228004,0.6349206349206349,0.02531645569620253,nan,0.9410833989969383,0.5589525818801575,2.6302017524532784,1.3627563050067355,1.2674454474465429
3662102503,threshold_05,0.4662605738799209,0.06374173347748557,0.125,0.0006271558482282847,nan,0.8186994964065621,0.4588378002696531,3.9313979755831863,1.8493326963224073,2.082065279260779
3700757712,threshold_05,0.5380536983131812,0.15842404633294033,0.3115942028985507,0.000612369871402327,nan,0.8908903891772125,0.5106138520036422,3.194756964752738,1.686600574979206,1.5081563897735322
3707256544,threshold_05,0.6532656576744579,0.4228855721393035,0.8333333333333334,0.0,nan,0.9647374689772806,0.5392624911160532,2.847948302692741,1.4912452237342895,1.356703078958451
3710912607,threshold_05,0.48695777717324773,0.06505931879066207,0.1282051282051282,0.0,nan,0.7538036010350926,0.5817392033536192,2.3966111402680363,1.2497341330173322,1.146877007250704
3767466977,threshold_05,0.6168645601459541,0.29418126757516766,0.5797101449275363,0.0,nan,0.9526104245358139,0.5577043751024827,2.6435488324571113,1.2819572076301007,1.3615916248270108
3769121277,threshold_05,0.631165760280791,0.22748327328872878,0.4482758620689655,0.0,nan,0.979164721733623,0.6291803591068693,1.9645646145063744,0.9827463348350656,0.9818182796713087
3770778897,threshold_05,0.6131663320078136,0.26040848389630794,0.5131578947368421,0.0,nan,0.9569401891062089,0.5717563447192803,2.496655899177809,1.0404523006582824,1.4562035985195265
3819086916,threshold_05,0.6520919316000285,0.31134664520419825,0.6120218579234973,0.0015600624024961,nan,0.9781502154926263,0.6181010360467141,2.0595282522948954,1.0126098734597404,1.0469183788351553
3853942725,threshold_05,0.6464629861693757,0.38299070684314285,0.7547169811320755,0.0,nan,0.9484658208640482,0.5702935337543316,2.511609903861517,1.3037248581659442,1.2078850456955732
3854983004,threshold_05,0.6185210036747959,0.3992972988166512,0.7796610169491526,0.007407407407407408,nan,0.8827521258337858,0.5421959142513588,2.8145059360493194,1.4593601380170147,1.355145798032305
3918162598,threshold_05,0.6184167959659886,0.16019709054534925,0.3116883116883117,0.00411522633744856,nan,0.9794712620162401,0.6501220774191423,1.7939088402689163,0.8791976683462116,0.9147111719227047
3921562037,threshold_05,0.584179907442544,0.21535992517722582,0.4219409282700422,0.0025188916876574307,nan,0.9257200655034452,0.5587711627519156,2.632137964284925,1.2404973053683448,1.3916406589165802
3922476405,threshold_05,0.6423369014366465,0.3405371333378357,0.6666666666666666,0.004524886877828055,nan,0.932554081391705,0.6108052369948543,2.123943604456601,1.1693531886508672,0.9545904158057336
3925240194,threshold_05,0.4248618888126853,0.03100968680851992,0.06051873198847262,0.0006064281382656155,nan,0.6971485940520638,0.49016278529116286,3.467128540477204,1.5262117606022814,1.940916779874923
